刑法是什么?;是规定犯罪、刑事责任与刑罚的法律
我国刑法的目的是什么?;为了惩罚犯罪，保护人民
什么是罪刑法定原则?;法无明文规定不为罪，法无明文规定不处罚
什么是平等适用刑法原则?;对任何人犯罪，在适用法律上一律平等
什么是罪责刑相适应原则?;轻罪轻判、重罪重判、罪刑相当
刑法的空间效力解决什么问题?;解决一个国家对地和人的刑事管辖权范围问题
属地管辖的适用对象是谁?;中国公民和外国人
属地管辖中“领域”包括哪些?;领陆、领空、领海；船舶、航空器；驻外使馆、领事馆（不包括国际列车、长途车）
属地管辖中地的确定标准是什么?;犯罪行为地或结果地只要有一项在我国领域内即可
属地管辖的例外有哪些?;享有外交特权与豁免权的外国人；港澳台地区；民族自治地方省级人大制定的变通或补充规定
属人管辖中，中国公民在国外犯罪如何追究?;普通公民犯最高刑三年以下可不追究；国家工作人员和军人必须追究
保护管辖需同时满足什么条件?;最低刑三年以上；行为在犯罪地也认为是犯罪
普遍管辖适用于哪些犯罪?;劫持航空器、跨国贩毒、海盗等危害人类安全的犯罪，且我国是公约缔结或参与国，犯罪人出现在我国领域内
刑法的时间效力中，溯及力原则是什么?;从旧兼从轻原则
犯罪的最基本特征是什么?;严重的社会危害性
犯罪的三个特征是什么?;严重社会危害性、刑事违法性、应受刑罚惩罚性
情节较轻微，危害性不大，不认为是犯罪?;正确
犯罪构成的四要件指什么?;犯罪主体、犯罪主观方面、犯罪客体、犯罪客观方面
犯罪主体的判定标准是什么?;年龄，精神状态
完全无刑事责任能力人包括哪些?;不满12周岁的人；完全不能辨认或控制自己行为的精神病人
已满12周岁是指什么?;12岁当天过完生日的第二天
已满12周岁不满14周岁的人负刑事责任的条件是什么?;犯故意杀人、故意伤害罪，致人死亡或以特别残忍手段致人重伤造成严重残疾，情节恶劣，经最高人民检察院核准追诉
已满14周岁不满16周岁的人对哪八种罪负责?;故意杀人、故意伤害致人重伤或死亡、强奸、抢劫、贩卖毒品、放火、爆炸、投放危险物质罪
已满16周岁且精神正常的人犯罪，应当如何?;应当承担完全刑事责任
尚未完全丧失辨认或控制自己行为能力的精神病人（半疯）犯罪如何处罚?;可以从轻或者减轻处罚（责令家人看管，必要时由政府强制医疗）
对不满18周岁的人犯罪如何处罚?;应当从轻或减轻处罚，且不适用死刑
因不满16岁不予刑事处罚的，如何处理?;责令父母或其他监护人加以管教，必要时进行专门的矫治教育
审判时已满75周岁的人，故意犯罪如何处罚?;可以从轻或减轻处罚
审判时已满75周岁的人，过失犯罪如何处罚?;应当从轻或减轻处罚
审判时已满75周岁的人如何适用死刑?;一般不适用死刑，但以特别残忍手段致人死亡的除外
间歇性精神病人精神正常时实施犯罪，如何负责?;应当负刑事责任，且不从轻或减轻
醉酒的人犯罪如何负责?;应当负刑事责任
梦游的人犯罪如何负责?;不负刑事责任
又聋又哑的人或盲人犯罪如何处罚?;可以从轻、减轻或免除处罚
单位犯罪必须体现什么?;单位意志+单位利益
单位本身所经营的业务犯法，是单位犯罪吗?;不是，仍是自然人犯罪
没有法人资格的合伙企业、个体工商户犯罪，是单位犯罪吗?;不是
单位犯罪的处罚原则是什么?;一般实行双罚制：对单位判处罚金，对直接负责的主管人员和其他直接责任人员判处刑罚
犯罪主观方面包括哪些?;犯罪故意（直接故意和间接故意）、犯罪过失（疏忽大意过失和过于自信过失）、不可抗力与意外事件
直接故意与间接故意的主要区别是什么?;直接故意是希望结果发生，间接故意是放任结果发生
疏忽大意过失是指什么?;应当预见，因疏忽未预见
过于自信过失是指什么?;已经预见，轻信可以避免
不可抗力是指什么?;已经预见但无法避免、不能抗拒，一般是自然事件
意外事件是指什么?;没有预见也无法预见，但有因果关系
犯罪客体是什么?;被侵害的权益（如甲杀了乙，侵害了乙的人身权）
所有犯罪都有犯罪客体吗?;是
所有犯罪都有犯罪对象吗?;不是
犯罪行为（作为犯）是犯罪构成客观方面的什么要素?;必要要素
不作为犯罪的构成要件是什么?;应为、能为而不为（有义务），有损害结果
不作为犯罪的特定义务来源有哪些?;法律明文规定的义务；职务或业务要求的义务；法律行为引起的义务；先行行为引起的义务
犯罪结果是指什么?;危害行为对具体犯罪对象、犯罪直接客体造成的损害（实际损害或现实危险）
因果关系是指什么?;危害行为与危害结果之间引起与被引起的关系
什么是违法的阻却事由?;符合犯罪构成要件但实际不具有社会危害性的行为
违法的阻却事由主要有哪些?;正当防卫、紧急避险
一般正当防卫的起因条件是什么?;存在现实的不法侵害（非假想的）
一般正当防卫的防卫对象是什么?;不法侵害人
一般正当防卫的防卫意图是什么?;保护合法权利
一般正当防卫的防卫时间是什么?;不法侵害正在进行
一般正当防卫的防卫限度是什么?;不超过必要限度
什么是防卫挑唆?;故意找茬让别人打自己，然后还手，不是正当防卫
什么是偶然防卫?;甲想杀乙，乙想杀丙，甲遇见乙在杀丙时去杀乙，并非出于保护丙的权利，不是正当防卫
互相斗殴是正当防卫吗?;不是
防卫过当如何处罚?;应当负刑事责任，应当减轻或免除处罚
特殊正当防卫（无限防卫权）适用于什么情形?;正在进行的行凶、杀人、抢劫、强奸、绑架等严重危及人身安全的暴力犯罪
特殊正当防卫造成不法侵害人死亡，如何负责?;即使超过必要限度，也不负刑事责任
紧急避险的起因条件是什么?;合法权益正在面临现实危险（人的行为、自然灾害、动物袭击、生理疾患）
紧急避险的避险时间是什么?;危险正在发生
紧急避险的避险对象是什么?;不得已损害另一方的合法权益
紧急避险的避险限度是什么?;没有超过必要限度
紧急避险不适用于哪些人?;职务或业务上有特定责任要求的人，如警察、消防员
犯罪预备的含义是什么?;为了犯罪、准备工具、制造条件
犯罪预备的特征是什么?;发生在预备阶段，尚未着手实行；因意志以外的原因而停止
犯罪预备如何处罚?;可以参照既遂犯从轻、减轻处罚或免除处罚
犯罪未遂的含义是什么?;已经着手实施犯罪，因意志以外的原因未得逞
犯罪未遂的特征是什么?;已着手实施犯罪；因意志以外的原因未得逞
犯罪未遂如何处罚?;可以比照既遂犯从轻或者减轻处罚
犯罪中止的含义是什么?;在犯罪过程中自动放弃犯罪或自动有效防止犯罪结果发生
犯罪中止的特征是什么?;中止的及时性、自动性、有效性；发生在准备、实行或结果发生阶段
犯罪中止如何处罚?;没有造成损害的，应当免除处罚；造成损害的，应当减轻处罚
犯罪既遂中盗窃罪的既遂标准是什么?;被害人失去对财物的控制
犯罪既遂中抢劫罪的既遂标准是什么?;造成轻伤以上或取得财物
犯罪既遂中绑架罪的既遂标准是什么?;实际控制人质
犯罪既遂中故意杀人罪的既遂标准是什么?;被害人死亡
犯罪既遂中拐卖妇女儿童罪的既遂标准是什么?;完成拐骗行为即既遂，不论是否卖出
什么是共同犯罪?;二人以上共同故意犯罪
共同犯罪的构成需要几个条件?;主体条件、主观条件、客观条件
共同犯罪的主体条件是什么?;二个以上具有刑事责任能力的人
共同犯罪的主观条件是什么?;共同故意（均有犯罪故意，相互协作）
共同犯罪的客观条件是什么?;共同犯罪的行为
共同犯罪中，一人既遂如何认定?;一人既遂，全体既遂
共同犯罪的排除情形有哪些?;把他人当工具、事前无通谋事后帮助、过限行为、同时犯
主犯分为哪两类?;组织、领导犯罪集团的首要分子；在共同犯罪中起主要作用的人
对犯罪集团的首要分子如何处罚?;按照集团所犯的全部罪行处罚（知道或不知道的都要处罚）
对其他主犯如何处罚?;按照其所参与或组织、指挥的全部犯罪处罚
从犯如何处罚?;应当从轻、减轻或者免除处罚
胁从犯如何处罚?;应当按照他的犯罪情节减轻处罚或者免除处罚
被胁迫参与犯罪但完全没有选择自由（如被枪指着），是胁从犯吗?;不是
教唆犯的处罚原则是什么?;按照他在共同犯罪中所起的作用处罚
教唆不满18周岁的人犯罪如何处罚?;应当从重处罚
被教唆的人没有犯被教唆的罪，教唆犯如何处罚?;可以从轻或减轻处罚
我国刑法的性质是什么?;是最严厉的法律制裁方法，只能对犯罪人适用，由人民法院依法适用
刑罚的目的是什么?;预防犯罪，减少犯罪，为最终消灭犯罪创造条件
刑罚的功能有哪些?;威慑功能、安抚补偿功能、教育感化功能、法制教育功能、强化规范意识功能
主刑有哪几种?;管制、拘役、有期徒刑、无期徒刑、死刑
管制的性质是什么?;不实行关押，社区矫正，限制一定自由（没有政治言论自由）
管制的期限和数罪并罚最高刑是多少?;期限为3个月以上2年以下，数罪并罚不超过3年
管制的刑期折抵如何计算?;拘留1日折抵2日
拘役的性质是什么?;短期人身自由，由公安机关就近强制劳动改造，可探亲，劳动可酌量发报酬
拘役的期限和数罪并罚最高刑是多少?;期限为1个月以上6个月以下，数罪并罚不超过1年
拘役的刑期折抵如何计算?;拘留1日折抵1日
有期徒刑的性质是什么?;一定期限人身自由，由监狱强制劳动改造
有期徒刑的期限和数罪并罚规定是什么?;6个月以上15年以下；总和刑期不满35年的，最高20年；35年以上的，最高25年
有期徒刑的刑期折抵如何计算?;拘留1日折抵1日
无期徒刑的性质是什么?;终身自由，并强制劳动改造
无期徒刑的刑期折抵如何计算?;拘留日不折抵
死刑的适用条件是什么?;只适用于罪行极其严重的犯罪分子
不适用死刑的对象有哪些?;犯罪时不满18岁的人；审判时怀孕的妇女；审判时已满75岁但以特别残忍手段致人死亡的除外
死刑立即执行由谁核准?;由最高人民法院判决或核准
死刑缓期执行由谁核准?;可以由高级人民法院判决或核准
死缓两年期满后如何处理?;无故意犯罪减为无期徒刑；有重大立功减为25年有期徒刑；故意犯罪情节恶劣的报请最高法核准执行死刑
死缓期间故意犯罪情节不严重的如何处理?;重新计算考核期（2年），并报最高人民法院报备
附加刑的种类有哪些?;罚金、剥夺政治权利、没收财产、驱逐出境
罚金缴纳确有困难如何处理?;经人民法院裁定，可以延期缴纳、酌情减少或免除
剥夺政治权利的内容包括哪些?;选举权和被选举权；言论、出版、集会、结社、游行、示威自由的权利；担任国家机关职务的权利；担任国有公司、企业、事业单位和人民团体领导职务的权利
对被判处死刑、无期徒刑的犯罪分子，剥夺政治权利的期限如何?;应当剥夺政治权利终身
对危害国家安全的犯罪分子，剥夺政治权利如何适用?;应当附加剥夺政治权利
附加剥夺政治权利的刑期从何时起算?;从徒刑、拘役执行完毕之日或从假释之日起计算
剥夺政治权利的一般期限是多久?;1至5年
判处管制附加剥夺政治权利的，剥夺政治权利的期限如何确定?;与管制期限相等，同时执行
没收财产没收的是什么财产?;犯罪分子个人所有的合法财产
没收财产时应当注意什么?;应当对犯罪分子个人及其扶养的家属保留必要的生活费用，不得没收家属的财产
驱逐出境适用于谁?;强制犯罪的外国人离开中国边境
什么是累犯?;受过一定刑罚处罚，执行完毕或赦免后在法定期限内又被判处一定刑罚的罪犯
对累犯的法律后果是什么?;从重处罚，不得适用缓刑、假释
一般累犯的构成条件是什么?;前后罪都是故意犯罪且判处有期徒刑以上；后罪发生在前罪刑罚执行完毕或赦免后5年内；犯前罪时已满18周岁
特殊累犯包括哪几类罪?;危害国家安全罪、恐怖活动罪、黑社会性质的组织犯罪
特殊累犯对刑种和时间有限制吗?;无限制，任何时候再犯任一类罪均可构成
自首的法律后果是什么?;可以从轻或减轻；犯罪较轻的可免除处罚
一般自首的条件是什么?;犯罪后自动投案，如实供述自己的罪行
共同犯罪中自首的要求是什么?;需要供述出同伙的罪行
特别自首的条件是什么?;被采取强制措施的犯罪嫌疑人、被告人或服刑罪犯，如实供述司法机关尚未掌握的其他罪行（不同种罪行）
自首后又翻供，是否认定为自首?;不是自首，但一审判决前又如实供述的，仍算自首
自动投案后又逃跑，跑后又主动投案并如实供述，是否算自首?;仍然算自首
坦白的认定是什么?;被动归案后如实供述已被掌握的罪行
坦白如何处罚?;可以从轻或减轻（如实供述避免严重后果发生的，可以减轻）
立功的认定有哪些?;揭发他人犯罪查证属实；提供重要线索侦破其他案件；协助司法机关抓捕其他犯罪嫌疑人（包括同案犯）
立功的法律后果是什么?;一般立功可以从轻或减轻，重大立功可以减轻或免除
缓刑的适用条件是什么?;被判处拘役或三年以下有期徒刑；犯罪情节较轻、有悔罪表现、无再犯危险、宣告缓刑对社区无重大不良影响
哪些人应当宣告缓刑?;不满18周岁的人、怀孕的妇女、已满75周岁的人（且同时满足缓刑基本条件）
对累犯或犯罪集团首要分子能否适用缓刑?;不适用
缓刑的考察期限如何规定?;拘役：原判以上1年以下（至少2个月）；有期徒刑：原判以上5年以下（至少1年）
缓刑考验期满的法律后果是什么?;原判刑罚不再执行（也不构成累犯的条件）
缓刑期间犯新罪或发现漏罪如何处理?;撤销缓刑，数罪并罚
违反缓刑监管规定情节严重的如何处理?;撤销缓刑
数罪并罚时，同时判处有期徒刑和拘役如何执行?;执行有期徒刑
数罪并罚时，同时判处有期徒刑/拘役和管制如何执行?;执行完有期徒刑或拘役后，仍须执行管制
减刑适用于哪些刑罚?;管制、拘役、有期徒刑、无期徒刑（不包括死刑）
减刑的条件是什么?;表现良好可以减；有立功表现应当减
减刑后实际执行的最低期限是什么?;管制、拘役、有期徒刑不得少于原判的1/2；无期徒刑不得少于13年
减刑由哪个机关决定?;执行机关向中级以上人民法院提出，法院组织合议庭审查
假释适用于哪些刑罚?;有期徒刑、无期徒刑
假释的实质条件是什么?;遵守监规、接受教育改造、确有悔改表现、没有再犯罪的危险
有期徒刑假释的执行刑期要求是什么?;执行原判刑期1/2以上
无期徒刑假释的执行刑期要求是什么?;实际执行13年以上
假释不适用于哪些犯罪?;累犯；因杀人、爆炸、强奸、抢劫、绑架、放火、投放危险物质或有组织的暴力性犯罪被判处十年以上有期徒刑、无期徒刑的犯罪分子
假释考验期如何确定?;有期徒刑为没有执行完毕的刑期；无期徒刑为10年
假释期间守法如何处理?;认为原判刑罚执行完毕
假释期间有违法行为但未犯新罪，如何处理?;撤销假释，执行未执行完毕的刑期
假释期间犯新罪，如何处理?;撤销假释，先减后并
假释后发现漏罪，如何处理?;先并后减
追诉时效的期限如何划分?;最高刑不满5年，过5年；5年以上不满10年，过10年；10年以上，过15年；死刑、无期徒刑，过20年
20年追诉时效认为必须追诉的，由谁核准?;最高人民检察院
哪些情形不受追诉期限限制?;已立案侦查的；被害人在追诉期内控告应当立案而未立案的
追诉期限从何时起算?;从犯罪之日起计算
持续犯罪（连续犯）的追诉时效从何时起算?;从犯罪行为终了之日起计算
追诉时效的中断条件是什么?;追诉期限内又犯新罪，前罪的追诉期限从犯后罪之日起重新计算
抢劫罪的行为方式有哪些?;以暴力、胁迫或其他方法（如酒精、药物昏迷）抢劫公私财物
携带凶器抢夺如何定罪?;以抢劫罪定罪处罚
转化型抢劫罪的条件是什么?;犯盗窃、诈骗、抢夺罪，为窝藏赃物、抗拒抓捕或毁灭罪证而当场使用暴力或以暴力相威胁
抢夺罪的行为特征是什么?;对物品使用暴力（没有对人，趁人不备）
盗窃罪的行为特征是什么?;别人不知情，秘密盗窃
调包行为构成什么罪?;盗窃罪
盗窃信用卡并使用的，定什么罪?;盗窃罪
侵占罪的行为特征是什么?;一开始在我这里，我不还了
盗窃罪与侵占罪的主要区别是什么?;盗窃罪是将他人占有的财物非法转移为自己占有；侵占罪是将自己合法占有的他人财物非法据为己有
职务侵占罪的主体是谁?;公司、企业或其他单位的工作人员
贪污罪的主体是谁?;国家工作人员
共同犯罪中，一方为国家工作人员，另一方不是，能否构成贪污罪?;能，一人既遂全体既遂
挪用公款罪的三种行为表现是什么?;进行非法活动；数额较大进行营利活动；数额较大超过三个月未还
挪用公款罪与贪污罪的核心区别是什么?;贪污罪是以非法占有为目的（所有权）；挪用公款罪是以非法使用为目的（使用权）
挪用救灾、抢险等特定款物归个人使用，如何处罚?;从重处罚
挪用特定款物罪（公款公用）的行为特征是什么?;挪用特定款物用于单位其他用途（如盖办公楼）
挪用资金罪的主体是谁?;公司、企业或其他单位的工作人员
